"ProductId","ProductName","inventory_turnover_rate"
424,"Coke - Classic, 355 Ml",4.28894580
870,Wine - Fat Bastard Merlot,4.28959484
64,"Pasta - Orzo, Dry",4.29124579
825,Beans - Fava Fresh,4.29864061
737,"Quail - Whole, Bone - In",4.29956140
535,Yams,4.31060606
714,Melon - Cantaloupe,4.31168301
383,Cotton Wet Mop 16 Oz,4.31354167
224,"Pasta - Spaghetti, Dry",4.32210429
434,"Placemat - Scallop, White",4.32588454
348,Cheese Cloth,4.32892628
430,Wine - Fume Blanc Fetzer,4.33363636
14,Pepper - Green Thai,4.33487417
556,Pie Filling - Pumpkin,4.33818770
468,Wine - Baron De Rothschild,4.33989899
65,Tea - Lemon Scented,4.34007707
510,Blackberries,4.34405941
331,Glass Clear 8 Oz,4.34418403
587,Shiratamako - Rice Flour,4.35309278
911,Sugar - Palm,4.35385878
578,Cocoa Powder - Natural,4.35841837
951,Wine - Savigny - Les - Beaune,4.36097360
219,Whmis - Spray Bottle Trigger,4.36574074
906,Macaroons - Homestyle Two Bit,4.36688312
391,Ice Cream - Fudge Bars,4.38020391
326,Juice - Orangina,4.38020833
206,Shortbread - Cookie Crumbs,4.38279857
760,"Pork - Bacon, Sliced",4.38363363
938,"Veal - Shank, Pieces",4.38449612
541,Pork - Backfat,4.39179104
156,Chicken - Tenderloin,4.39267016
299,Kaffir Lime Leaves,4.40155566
656,Cake Slab,4.40245700
890,"Wine - Red, Concha Y Toro",4.40448538
183,Wine - Kwv Chenin Blanc South,4.40974967
720,Tequila - Sauza Silver,4.41331418
232,Bread Base - Toscano,4.42670157
76,Jerusalem Artichoke,4.42739274
330,Beets - Pickled,4.43127962
70,Cheese - Fontina,4.43825561
593,Ice Cream - Strawberry,4.43915344
460,"Wine - White, Ej",4.44168962
141,"Juice - Orange, 341 Ml",4.47023535
176,Sambuca Cream,4.47133497
687,Cheese - Ermite Bleu,4.47377327
151,"Chilli Paste, Ginger Garlic",4.48256803
422,Devonshire Cream,4.48515304
380,Sauce - Fish 25 Ozf Bottle,4.49171518
215,Vinegar - Sherry,4.49442539
459,Vol Au Vents,4.50740741
175,Muffin Mix - Carrot,4.51617133
743,Galliano,4.51730503
273,Bread Base - Italian,4.52018900
740,Oil - Sunflower,4.52109613
868,Nantucket Cranberry Juice,4.52575011
139,Lemon Pepper,4.52709790
982,Bread - Mini Hamburger Bun,4.54650552
636,"Coconut - Shredded, Unsweet",4.55327468
873,Salt And Pepper Mix - Black,4.55581724
813,Oranges,4.55584416
812,Spice - Greek 1 Step,4.55622977
887,Pheasants - Whole,4.56912879
967,Wine - Magnotta - Belpaese,4.57444444
544,Roe - White Fish,4.58932610
669,Scrubbie - Scotchbrite Hand Pad,4.59740933
438,Bagel - Sesame Seed Presliced,4.59793814
3,Chickensplit Half,4.60126013
970,Tamarillo,4.60363636
628,Chicken Breast Halal,4.61261261
216,"Beets - Candy Cane, Organic",4.62681611
287,Veal - Bones,4.63590217
774,Lid - 16 Oz And 32 Oz,4.63908629
838,Wine - Alsace Gewurztraminer,4.65478574
567,Raspberries - Fresh,4.66066607
96,"Lemonade - Strawberry, 591 Ml",4.66087344
789,Bread - Assorted Rolls,4.66354724
397,"Yogurt - Banana, 175 Gr",4.66666667
629,Beef - Tenderloin Tails,4.68638538
250,Chicken Thigh - Bone Out,4.68781219
320,Wine - Domaine Boyar Royal,4.69100529
105,Hagen Daza - Dk Choocolate,4.69146006
243,Potato - Sweet,4.69219512
494,Bag - Regular Kraft 20 Lb,4.69834711
315,Table Cloth 90x90 Colour,4.71657754
810,Cheese - Grie Des Champ,4.71881188
496,Cup - 8oz Coffee Perforated,4.73072917
275,Tart - Lemon,4.73140097
322,Sauce - Sesame Thai Dressing,4.73604061
72,Napkin White - Starched,4.73766234
260,Wine - Cousino Macul Antiguas,4.74623238
92,Loquat,4.74736842
854,Beef - Striploin Aa,4.74802372
963,Beer - True North Strong Ale,4.75064378
47,Monkfish - Fresh,4.75267380
898,"Bread - Pumpernickle, Rounds",4.75399061
700,Lid Tray - 12in Dome,4.75628627
886,Leeks - Large,4.76209860
534,Pepper - Pablano,4.76243094
504,Chef Hat 25cm,4.76887755
974,Muffin Orange Individual,4.77968750
1,Chocolate Bar - Smarties,4.79584416
614,"Vodka - Lemon, Absolut",4.79649285
625,Fireball Whisky,4.80160985
454,Cumin - Ground,4.80267857
617,Cup Translucent 9 Oz,4.81158798
697,Wine - German Riesling,4.81168831
693,"Wine - White, Colubia Cresh",4.81197917
213,Chips - Doritos,4.82119776
831,Kohlrabi,4.82216749
118,Oil - Sunflower,4.82222222
300,Beef - Kobe Striploin,4.82394077
585,Shopper Bag - S - 4,4.83703393
31,Onions - Red Pearl,4.84191670
526,Beef Ground Medium,4.84678243
319,Oil - Safflower,4.85365854
877,Puff Pastry - Slab,4.86179716
87,Dasheen,4.86837209
379,Crackers - Soda / Saltins,4.86986900
392,"Pepper - Green, Chili",4.87571922
364,Salami - Genova,4.87764128
306,Cake - Night And Day Choclate,4.87783784
904,"Lemonade - Strawberry, 591 Ml",4.88300000
197,Yogurt - Assorted Pack,4.88305085
694,Ecolab - Solid Fusion,4.88585859
495,Lamb - Rack,4.89121951
223,Mix Pina Colada,4.90188679
946,Muffin - Banana Nut Individual,4.90294118
709,"Flour - Buckwheat, Dark",4.90331754
939,Cookies Cereal Nut,4.92356322
874,Muffin - Banana Nut Individual,4.92775120
961,Petite Baguette,4.92846498
48,Appetizer - Escargot Puff,4.94712430
368,Lotus Leaves,4.95000000
888,Oil - Avocado,4.95046296
410,Oil - Avocado,4.95612245
214,Nantucket - 518ml,4.95882353
917,Flavouring - Orange,4.96036866
882,Olives - Stuffed,4.96089385
929,Fenngreek Seed,4.97751196
990,Coffee - Decafenated,4.99053254
560,Wine - Marlbourough Sauv Blanc,4.99851485
406,Bread - Multigrain,4.99896907
538,Chicken - Soup Base,5.01290323
653,Napkin Colour,5.01447964
53,Peppercorns - Green,5.01490385
351,Asparagus - Frozen,5.01818182
816,Lettuce - Frisee,5.01902174
359,Bread - Rye,5.02077295
55,Cilantro / Coriander - Fresh,5.02900000
191,Loquat,5.03452915
690,Bread - Pain Au Liat X12,5.03694581
426,Table Cloth 144x90 White,5.06761905
109,Tomato - Plum With Basil,5.07096774
103,Country Roll,5.07979798
255,Beef - Prime Rib Aaa,5.08464912
861,"Soup - Knorr, Classic Can. Chili",5.09032258
903,Water - Aquafina Vitamin,5.09032258
894,"Soup - Knorr, Ministrone",5.09292929
742,Steam Pan - Half Size Deep,5.09734043
959,Chef Hat 25cm,5.10534759
717,Pants Custom Dry Clean,5.11079812
338,Rosemary - Fresh,5.11168224
758,Onion - Dried,5.11502347
408,Olives - Kalamata,5.11804878
645,Muffin - Banana Nut Individual,5.12403846
981,Tofu - Firm,5.12512563
43,Crackers Cheez It,5.12890173
569,"Cake Circle, Paprus",5.14046512
647,Vanilla Beans,5.14320388
78,Wine - Semi Dry Riesling Vineland,5.14553991
207,Shrimp - Tiger 21/25,5.15776699
458,Five Alive Citrus,5.18171429
94,Vacuum Bags 12x16,5.18810811
497,Mushroom - Crimini,5.19944444
135,Bread - Sour Batard,5.20936214
446,Flower - Leather Leaf Fern,5.22641509
952,"Pepper - Black, Ground",5.22807018
612,"Cake Circle, Paprus",5.24038462
632,Oil - Margarine,5.25246637
806,Guinea Fowl,5.25971564
665,Tart - Pecan Butter Squares,5.26458333
58,Potatoes - Mini White 3 Oz,5.26529680
804,Rice Paper,5.26650246
28,Soup - Campbells Asian Noodle,5.28157895
355,Table Cloth 62x114 White,5.28662791
514,Canada Dry,5.28676471
393,Chivas Regal - 12 Year Old,5.28769231
6,Flower - Dish Garden,5.29612159
193,"Mushroom - Morels, Dry",5.31133113
465,Daikon Radish,5.34210526
986,"Wine - Red, Marechal Foch",5.36435420
201,Kolrabi,5.36752137
486,Ginger - Fresh,5.37315789
269,Sword Pick Asst,5.39520958
462,Sambuca Cream,5.39775281
158,Browning Caramel Glace,5.41998937
296,"Sauce - White, Mix",5.42275132
775,Bandage - Flexible Neon,5.42775170
685,Muffin Puck Ww Carrot,5.43026005
973,"Sauce - Black Current, Dry Mix",5.43412322
210,Ice Cream Bar - Hagen Daz,5.43567251
59,Beets - Mini Golden,5.44065657
353,Momiji Oroshi Chili Sauce,5.44567219
46,Wine - Vovray Sec Domaine Huet,5.45925926
727,Soup - Campbells Chili Veg,5.46031746
436,Eggroll,5.46078431
555,"Veal - Tenderloin, Untrimmed",5.47379679
241,Tray - 16in Rnd Blk,5.47823597
457,Lettuce - Belgian Endive,5.48068925
328,Pan Grease,5.48092869
401,Cheese - Mozzarella,5.48867825
162,Chip - Potato Dill Pickle,5.49059829
253,Hand Towel,5.49869588
650,Tuna - Salad Premix,5.49889989
601,Remy Red,5.50280584
559,Pork - Side Ribs,5.53052503
795,Appetizer - Mango Chevre,5.54380813
942,Bandage - Fexible 1x3,5.54404145
994,"Basil - Dry, Rubbed",5.54433761
98,Appetizer - Veg Assortment,5.55946399
291,Lettuce - Curly Endive,5.56382979
13,Monkfish - Fresh,5.57104701
421,Bacardi Limon,5.58217593
362,Veal - Heart,5.58620690
218,Salt And Pepper Mix - White,5.60195360
509,"Nut - Almond, Blanched, Ground",5.60309278
512,Gloves - Goldtouch Disposable,5.61833333
66,Tray - 12in Rnd Blk,5.63019943
821,"Pasta - Fettuccine, Egg, Fresh",5.63032191
202,"Garlic - Primerba, Paste",5.63589744
356,Sugar - Icing,5.63831019
787,"Pepper - Chillies, Crushed",5.63875205
154,Milk - Buttermilk,5.65591398
581,Island Oasis - Lemonade,5.65845649
415,Guava,5.66313933
553,Fruit Mix - Light,5.66790123
79,Spice - Pepper Portions,5.68028322
41,Lobster - Cooked,5.69607843
336,Bouillion - Fish,5.70169082
664,Cheese - Goat,5.70765912
919,Sea Bass - Fillets,5.71412619
476,Beer - Creemore,5.71428571
822,Pastry - Baked Cinnamon Stick,5.71531233
38,Rice Wine - Aji Mirin,5.73130342
580,"Veal - Inside Round / Top, Lean",5.73904179
294,Shopper Bag - S - 4,5.76537217
208,Ice Cream Bar - Drumstick,5.77317073
95,Bag - Clear 7 Lb,5.78584730
450,"Bread - Roll, Canadian Dinner",5.78652968
479,"Iced Tea - Lemon, 460 Ml",5.79979036
574,Smoked Paprika,5.80260047
228,Cake - Mini Potato Pancake,5.80607477
744,Rabbit - Whole,5.84454877
977,Sole - Fillet,5.84525887
899,Relish,5.84667908
316,Cabbage - Green,5.85469543
893,Cherries - Frozen,5.92592593
588,Wine - Tio Pepe Sherry Fino,5.92893401
35,Trueblue - Blueberry 12x473ml,5.93812500
826,Towel Dispenser,5.95878978
736,"Water, Tap",5.96774194
710,Wine - Stoneliegh Sauvignon,5.97782258
329,Onions Granulated,5.98059965
989,Ecolab Crystal Fusion,5.98641304
18,Rootbeer,5.99424295
704,Sunflower Seed Raw,6.01055556
427,Eggplant Oriental,6.03044041
370,Red Currants,6.03782051
361,Wine - Shiraz Wolf Blass Premium,6.03883495
739,"Bread - Roll, Soft White Round",6.04850746
623,"Pasta - Fettuccine, Dry",6.05309140
732,Cheese - Cambozola,6.05641026
759,Quail - Jumbo,6.06483957
937,Puree - Raspberry,6.08353960
606,Pork - Shoulder,6.10392442
75,Filo Dough,6.10622066
756,Trout Rainbow Whole,6.12264151
302,Soap - Pine Sol Floor Cleaner,6.12562814
387,Cardamon Seed / Pod,6.13337629
860,Veal - Inside,6.13480392
661,"Beef - Rib Roast, Capless",6.14136126
820,"Beef - Rib Roast, Capless",6.14294258
340,Thyme - Fresh,6.14341518
857,"Wine - Red, Pelee Island Merlot",6.15574866
256,Beef - Tenderloin - Aa,6.16309524
731,Cheese - St. Andre,6.17256637
945,Lettuce - Treviso,6.20556872
691,Wine - Bouchard La Vignee Pinot,6.21175799
604,Nut - Pumpkin Seeds,6.21379781
631,Duck - Legs,6.22081218
398,Dried Figs,6.22354497
142,Crab Brie In Phyllo,6.22564103
327,External Supplier,6.22876214
931,Pears - Anjou,6.23067010
840,Soup - Campbells Tomato Ravioli,6.23076923
935,Tobasco Sauce,6.23232323
620,"Bread - Multigrain, Loaf",6.23410088
386,Cream - 35%,6.23444976
501,"Beef - Outside, Round",6.24230769
82,Easy Off Oven Cleaner,6.24942661
83,White Baguette,6.26758794
865,"Coconut - Creamed, Pure",6.26851852
164,Island Oasis - Peach Daiquiri,6.27072864
672,Urban Zen Drinks,6.27162162
776,The Pop Shoppe - Root Beer,6.28472222
799,Chervil - Fresh,6.28665865
801,Bread - Granary Small Pull,6.31184896
862,Lemonade - Pineapple Passion,6.32727273
81,Leeks - Large,6.32930108
313,Wine - Merlot Vina Carmen,6.33863636
833,Bread Base - Gold Formel,6.34047619
596,Breadfruit,6.34078947
9,Clam - Cherrystone,6.34829545
443,Crackers - Water,6.35121951
844,The Pop Shoppe Pinapple,6.38495025
659,Chocolate - Compound Coating,6.39138350
654,"Pasta - Lasagne, Fresh",6.39455307
49,Mustard Prepared,6.40214932
490,Banana - Green,6.40687500
444,Gherkin,6.40862944
602,Jameson Irish Whiskey,6.41161616
797,"Turkey - Whole, Fresh",6.42379679
354,Beer - Creemore,6.43103448
767,Bread - Dark Rye,6.45735981
308,White Baguette,6.47916667
589,"Chicken - Thigh, Bone In",6.47927136
980,Cup - Translucent 7 Oz Clear,6.50392670
815,Beans - Wax,6.51148649
466,Ginger - Ground,6.51861702
878,Appetiser - Bought,6.54126214
922,Beer - Tetleys,6.55465116
413,Pepper - Chili Powder,6.55984043
265,Foil - 4oz Custard Cup,6.56606218
648,"Veal - Tenderloin, Untrimmed",6.57364865
660,Cake - Bande Of Fruit,6.58014354
684,Nut - Pumpkin Seeds,6.60232843
965,Ginger - Ground,6.60434174
402,Bagel - Sesame Seed Presliced,6.60534899
200,Scampi Tail,6.61463415
257,Bonito Flakes - Toku Katsuo,6.61703431
646,Fenngreek Seed,6.62234043
252,"Carrots - Purple, Organic",6.64463351
264,"Wine - Magnotta - Red, Baco",6.64767748
823,"Wine - Red, Metus Rose",6.66027228
668,Swiss Chard - Red,6.66537611
318,Glass Clear 7 Oz Xl,6.67889222
236,"Mushrooms - Black, Dried",6.70054945
395,Onions - Cooking,6.70666667
834,Hot Chocolate - Individual,6.71982759
780,"Lobster - Tail, 3 - 4 Oz",6.73702830
930,Wine - Rhine Riesling Wolf Blass,6.75878378
947,Beer - Tetleys,6.76678877
233,"Pasta - Fusili, Dry",6.77282230
40,Tarragon - Fresh,6.80104712
809,Samosa - Veg,6.81449893
363,Emulsifier,6.82857143
131,Sesame Seed Black,6.83714286
677,"Tart Shells - Sweet, 2",6.86459039
180,Napkin White,6.87383178
698,Trueblue - Blueberry,6.91684435
772,"Veal - Tenderloin, Untrimmed",6.93103448
369,Cheese - Marble,6.93754153
711,Island Oasis - Lemonade,6.96666667
923,Bread - Raisin,6.96894410
507,Momiji Oroshi Chili Sauce,6.98130142
51,Wine - Penfolds Koonuga Hill,6.98133525
637,Assorted Desserts,6.98144712
545,Cheese - Sheep Milk,6.99438553
405,"Juice - Clamato, 341 Ml",7.00000000
730,Lettuce - Red Leaf,7.00153610
245,Coffee - Hazelnut Cream,7.00789266
407,Beer - Mill St Organic,7.04031117
373,Lemonade - Pineapple Passion,7.04514825
914,Sprouts - Bean,7.06149904
741,Chicken - Whole Roasting,7.09834889
242,Extract - Raspberry,7.11575092
830,Piping - Bags Quizna,7.12082445
880,"Tart Shells - Sweet, 3",7.15845649
875,Muffin Mix - Blueberry,7.16275764
116,"Salmon - Atlantic, No Skin",7.17179024
229,Chevril,7.18006645
517,"Turkey - Breast, Double",7.18591934
753,Strawberries - California,7.18867925
419,"Potatoes - Instant, Mashed",7.19956927
220,Vodka - Moskovskaya,7.20750200
790,Beans - Wax,7.21463758
431,Mustard - Seed,7.21951220
146,Cabbage - Nappa,7.22651223
871,"Tomatoes - Cherry, Yellow",7.23667377
702,Container Clear 8 Oz,7.23832753
33,"Rum - Coconut, Malibu",7.25117739
723,Table Cloth 62x120 Colour,7.25334272
204,"Soup - Knorr, Country Bean",7.26215022
321,Pimento - Canned,7.27428571
100,Coffee - Decafenated,7.29285714
293,Ecolab Crystal Fusion,7.30174216
539,Poppy Seed,7.31318681
640,Cabbage - Red,7.31415643
276,Coffee - Irish Cream,7.33288410
111,Rice Paper,7.35119048
757,Toothpick Frilled,7.35447263
657,"Wine - White, Mosel Gold",7.35676889
177,Plasticforkblack,7.36219336
571,Juice - Orangina,7.37872024
305,"Oregano - Dry, Rubbed",7.38478105
770,Sage - Rubbed,7.40345369
221,Syrup - Monin - Granny Smith,7.40380952
954,Nacho Chips,7.41213768
701,Water Chestnut - Canned,7.43809524
869,Yukon Jack,7.43877551
384,Pork - Smoked Back Bacon,7.44184231
800,Pea - Snow,7.46173469
114,Wine - Rubyport,7.49271137
728,Foil Wrap,7.49489796
835,Plaintain,7.49624060
32,Green Tea Refresher,7.52192362
484,Potatoes - Mini Red,7.54166667
283,Bread - Granary Small Pull,7.54329004
913,Persimmons,7.56398104
528,Cumin - Whole,7.60586081
10,Coffee Cup 8oz 5338cd,7.65869106
557,Sorrel - Fresh,7.68017058
881,Pastry - Baked Scones - Mini,7.68243243
409,"Lamb - Loin, Trimmed, Boneless",7.69470631
442,Chutney Sauce,7.70413343
285,Horseradish - Prepared,7.75280899
62,Wheat - Soft Kernal Of Wheat,7.76740847
172,Sunflower Seed Raw,7.77478134
791,Pepper - Sorrano,7.81185567
532,Crab - Soft Shell,7.81419458
782,"Chicken - Base, Ultimate",7.88023451
145,Ecolab - Mikroklene 4/4 L,7.96648551
346,Plasticspoonblack,8.05465950
897,"Lamb - Whole, Fresh",8.07282282
680,Bagel - Whole White Sesame,8.07535461
613,Oil - Olive,8.12725780
522,"Beets - Candy Cane, Organic",8.13317384
425,Sauce - Hp,8.13673139
115,"Lemonade - Kiwi, 591 Ml",8.14957265
529,Compound - Passion Fruit,8.16666667
428,Lettuce - Boston Bib - Organic,8.17936508
343,Beef - Tenderloin Tails,8.21739130
50,Sherry - Dry,8.23679868
42,"Lemonade - Kiwi, 591 Ml",8.24393939
508,Compound - Raspberry,8.24500000
591,Muffin Orange Individual,8.24641148
909,"Oranges - Navel, 72",8.25867270
482,Eggplant Italian,8.26684397
858,Chicken Breast Halal,8.27297297
883,Tea - Herbal Sweet Dreams,8.27644231
536,"Crab - Back Fin Meat, Canned",8.28947368
324,Eggplant Oriental,8.29671151
933,Soup - French Can Pea,8.29819820
924,Truffle - Peelings,8.30345912
390,"Pork - Back, Long Cut, Boneless",8.32870370
570,"Sauce - Gravy, Au Jus, Mix",8.33052434
927,"Tomatoes - Diced, Canned",8.35982906
554,"Pasta - Gnocchi, Potato",8.37901861
104,Sauerkraut,8.38353414
689,Kahlua,8.38366337
626,Sugar - Icing,8.40298507
515,Tumeric,8.40928270
964,Chicken Thigh - Bone Out,8.41262136
993,Turkey - Ground. Lean,8.44618056
456,Pastry - Chocolate Chip Muffin,8.46575342
325,Versatainer Nc - 888,8.46620584
682,"Chocolate - Milk, Callets",8.48659966
137,Seaweed Green Sheets,8.50423012
992,Bok Choy - Baby,8.50460829
915,Fondant - Icing,8.50813008
794,Trout - Smoked,8.51083333
932,Milk - 1%,8.51404494
829,Pie Shell - 9,8.52500000
222,Muffin - Carrot Individual Wrap,8.53288490
157,Beer - Heinekin,8.53583333
312,"Jam - Strawberry, 20 Ml Jar",8.55208333
998,Flounder - Fresh,8.55776515
54,"Arctic Char - Fresh, Whole",8.56423611
847,Remy Red Berry Infusion,8.56529210
303,Scallops - Live In Shell,8.57989691
485,Wine - Dubouef Macon - Villages,8.59653465
671,"Pasta - Linguini, Dry",8.60800745
752,Kellogs Special K Cereal,8.66046099
912,Coffee - Hazelnut Cream,8.66912972
796,Bagel - Whole White Sesame,8.71243523
478,"Tendrils - Baby Pea, Organic",8.71329879
60,"Lemonade - Strawberry, 591 Ml",8.72324159
586,"Sugar - Sweet N Low, Individual",8.75219298
267,Eggwhite Frozen,8.76375405
999,Bread - Wheat Baguette,8.78125000
69,"Appetizer - Mini Egg Roll, Shrimp",8.80820771
940,Soup Campbells - Tomato Bisque,8.81951220
57,Spinach - Frozen,8.83498350
696,Sauce - Vodka Blush,8.91162791
562,Liners - Baking Cups,8.91196581
396,Wine - Chateau Aqueria Tavel,8.92314815
749,Rice - Long Grain,8.96153846
771,Wine - Chateauneuf Du Pape,8.99047619
762,"Beef - Baby, Liver",9.03584906
333,Cleaner - Comet,9.07368421
599,Sauce - Salsa,9.07986111
513,"Lamb - Whole, Frozen",9.08245614
837,Bag Clear 10 Lb,9.17571644
971,Cakes Assorted,9.20692432
622,Truffle Paste,9.21378709
20,Longos - Chicken Caeser Salad,9.22959184
440,Clams - Canned,9.39806763
251,Lettuce - Escarole,9.40380952
511,Puree - Strawberry,9.48000000
533,Wine - Red Oakridge Merlot,9.50099010
549,Muffin Carrot - Individual,9.54708520
763,Chicken - Soup Base,9.55145631
783,Bandage - Fexible 1x3,9.55467980
277,Kumquat,9.57872340
975,The Pop Shoppe - Grape,9.60736842
726,Tart - Lemon,9.64356436
520,Fond - Neutral,9.67096774
84,Petit Baguette,9.77281553
110,Snapple Raspberry Tea,9.78591549
439,Lamb - Sausage Casings,9.83981481
955,Peppercorns - Green,9.85754717
618,"Soup - Knorr, Classic Can. Chili",9.85917160
432,"Stock - Chicken, White",9.86030151
400,Lettuce - Baby Salad Greens,9.86934673
357,Sausage - Andouille,9.87192118
263,Lobster - Live,9.87938144
309,Vaccum Bag - 14x20,9.88217822
17,"Octopus - Baby, Cleaned",9.88720379
920,Sun - Dried Tomatoes,9.88983957
475,Towel Dispenser,9.89431818
598,Lobak,9.89795918
133,Allspice - Jamaican,9.92749004
956,Chicken - Whole,9.93800000
394,Gingerale - Diet - Schweppes,9.94829268
452,Breadfruit,9.94926829
686,Lettuce - Romaine,9.96100000
527,Water - Spring 1.5lit,9.97112299
573,Mangoes,9.99779006
477,Spice - Paprika,9.99813084
729,Soup Campbells - Italian Wedding,10.00310881
755,Leeks - Large,10.00652174
735,Cloves - Ground,10.04397906
194,Pears - Bartlett,10.04433498
44,Pomello,10.04843049
681,Bread - Pumpernickel,10.07614213
921,Parasol Pick Stir Stick,10.08494624
61,"Rum - Cream, Amarula",10.13775510
29,Soup - Base Broth Beef,10.14213198
908,"Pasta - Lasagne, Fresh",10.17058824
280,Wine - Magnotta - Cab Franc,10.18367347
480,Oil - Grapeseed Oil,10.20776699
429,Black Currants,10.22211055
936,Breakfast Quesadillas,10.22464455
905,Sour Puss Sour Apple,10.23101604
227,Wine - Clavet Saint Emilion,10.25786802
289,Gatorade - Lemon Lime,10.26842105
896,Gatorade - Lemon Lime,10.27955801
36,Cheese - St. Andre,10.29519231
344,Honey - Liquid,10.31315789
239,Container - Foam Dixie 12 Oz,10.33148148
969,Spice - Paprika,10.36224490
254,Sprouts - Brussel,10.41296296
550,Chocolate Bar - Coffee Crisp,10.41359223
461,Soup - Tomato Mush. Florentine,10.48989899
203,"Pork - Tenderloin, Fresh",10.50480769
467,Squid - U - 10 Thailand,10.56328502
983,Flour - Pastry,10.61990050
352,Cotton Wet Mop 16 Oz,10.62352941
808,Lettuce - Boston Bib,10.65326633
16,"Beef - Tenderlion, Center Cut",10.68817204
258,Bagel - Sesame Seed Presliced,10.73301887
848,Sausage - Meat,10.79009009
247,Veal - Leg,10.84000000
537,Beer - Paulaner Hefeweisse,10.92808989
492,Ham - Procutinni,11.39950980
850,Wine - Prosecco Valdobienne,11.42154812
505,Daves Island Stinger,11.69053398
173,Beef - Tenderloin Tails,11.72651934
817,Tea - Green,11.84154930
548,Wine - Zinfandel Rosenblum,11.91834171
634,Bols Melon Liqueur,11.96108491
818,Pepper - Cubanelle,11.98691099
703,Wine La Vielle Ferme Cote Du,12.01970443
676,"Syrup - Monin, Amaretta",12.02525253
655,"Pasta - Rotini, Colour, Dry",12.03479381
633,Pasta - Agnolotti - Butternut,12.04807692
778,"Shrimp - 16 - 20 Cooked, Peeled",12.07994186
984,Cabbage - Red,12.12621359
244,Goat - Whole Cut,12.13139535
724,Cheese - Grana Padano,12.17375000
551,Cleaner - Bleach,12.18372093
712,Daves Island Stinger,12.19065657
498,Wine - Balbach Riverside,12.21330275
7,"Beef - Rouladin, Sliced",12.23026316
121,Soup - Campbells Chili,12.24707602
960,Pineapple - Golden,12.25980392
675,Goulash Seasoning,12.29490291
836,Chinese Foods - Chicken,12.30555556
957,"Lamb - Pieces, Diced",12.33027523
803,"Tortillas - Flour, 12",12.36675127
722,Pork - Ground,12.37373737
378,"Yogurt - Cherry, 175 Gr",12.37814070
658,Wine - Carmenere Casillero Del,12.40000000
73,Pork - Ham Hocks - Smoked,12.42224880
67,Peppercorns - Pink,12.44109948
292,"Quail - Whole, Boneless",12.44672131
185,Table Cloth 54x72 Colour,12.47969543
